# SmartBugs Dataset Analysis Summary

Generated on: 1742903975

## Overview

Total contracts: 100

## Category Statistics

Labeled contracts: 91 out of 100 (91.0%)

| Vulnerability Category | Count | Percentage |
|------------------------|-------|------------|
| reentrancy | 13 | 13.0% |
| cross contract reentrancy | 21 | 21.0% |
| integer overflow | 22 | 22.0% |
| integer underflow | 29 | 29.0% |
| precision loss | 23 | 23.0% |
| uninitialized storage | 24 | 24.0% |
| access control | 27 | 27.0% |
| gas griefing | 20 | 20.0% |
| unchecked calls | 31 | 31.0% |
